"","Date","Team","Opponent","Location","TeamScore","OppScore","POSS","Result"
"335","12/06/2014","Arizona","Gonzaga","H",66,63,67.2375,"W"
"336","12/09/2014","Arizona","Utah Valley","H",87,56,71.3,"W"
"337","12/13/2014","Arizona","Michigan","H",80,53,66.3375,"W"
"338","12/16/2014","Arizona","Oakland","H",101,64,76.675,"W"
"339","12/19/2014","Arizona","UTEP","A",60,55,65.95,"W"
"340","12/23/2014","Arizona","UNLV","A",67,71,73.1125,"L"
"341","01/04/2015","Arizona","Arizona St.","H",73,49,67.525,"W"
"342","01/08/2015","Arizona","Oregon","A",80,62,71.85,"W"
"343","01/11/2015","Arizona","Oregon St.","A",56,58,54.95,"L"
"344","01/15/2015","Arizona","Colorado","H",68,54,59.3875,"W"
"345","01/17/2015","Arizona","Utah","H",69,51,57.025,"W"
"346","01/22/2015","Arizona","Stanford","A",89,82,72.9125,"W"
"347","01/24/2015","Arizona","California","A",73,50,67.625,"W"
"348","01/28/2015","Arizona","Oregon","H",90,56,68.2875,"W"
"349","01/30/2015","Arizona","Oregon St.","H",57,34,59.4875,"W"
"350","02/07/2015","Arizona","Arizona St.","A",78,81,70.975,"L"
"351","02/13/2015","Arizona","Washington","A",86,62,69.1625,"W"
"352","02/15/2015","Arizona","Washington St.","A",86,59,71.5,"W"
"353","02/19/2015","Arizona","Southern California","H",87,57,70.1125,"W"
"354","02/21/2015","Arizona","UCLA","H",57,47,60.025,"W"
"355","02/26/2015","Arizona","Colorado","A",82,54,65.425,"W"
"356","02/28/2015","Arizona","Utah","A",63,57,61.275,"W"
"357","03/05/2015","Arizona","California","H",99,60,77.45,"W"
"358","03/07/2015","Arizona","Stanford","H",91,69,72.9625,"W"
"359","03/12/2015","Arizona","California","N",73,51,68.9375,"W"
"360","03/13/2015","Arizona","UCLA","N",70,64,62.95,"W"
"361","03/14/2015","Arizona","Oregon","N",80,52,60.625,"W"
"362","03/19/2015","Arizona","Texas Southern","N",93,72,66.0375,"W"
"363","03/21/2015","Arizona","Ohio St.","N",73,58,64.2625,"W"
"364","03/26/2015","Arizona","Xavier","N",68,60,61.8125,"W"
"365","03/28/2015","Arizona","Wisconsin","N",78,85,64.4875,"L"
"366","11/14/2014","Arizona St.","Chicago St.","H",86,50,67.0375,"W"
"367","11/17/2014","Arizona St.","Bethune-Cookman","H",49,39,57.3625,"W"
"368","11/20/2014","Arizona St.","Loyola Marymount","H",68,44,62.975,"W"
"369","11/24/2014","Arizona St.","Maryland","N",73,78,64.6,"L"
"370","11/29/2014","Arizona St.","Colgate","H",78,71,66.1375,"W"
