"","Date","Team","Opponent","Location","Result","TeamScore","OppScore"
"8559",2016-11-14,"Temple","New Hampshire","H","L",52,57
"8560",2016-11-17,"Temple","Massachusetts","A","L",67,70
"8561",2016-11-20,"Temple","Manhattan","H","W",88,67
"8562",2016-11-24,"Temple","Florida St.","N","W",89,86
"8563",2016-11-25,"Temple","West Virginia","N","W",81,77
"8564",2016-11-30,"Temple","Saint Joseph's","A","W",78,72
"8565",2016-12-03,"Temple","Penn","H","W",70,62
"8566",2016-12-07,"Temple","George Washington","H","L",63,66
"8567",2016-12-10,"Temple","DePaul","N","W",74,65
"8568",2016-12-13,"Temple","Villanova","A","L",57,78
"8569",2016-12-17,"Temple","NJIT","H","W",68,63
"8570",2016-12-22,"Temple","Yale","H","W",83,77
"8571",2016-12-28,"Temple","Cincinnati","H","L",50,56
"8572",2016-12-31,"Temple","UCF","A","L",53,77
"8573",2017-01-04,"Temple","SMU","A","L",65,79
"8574",2017-01-07,"Temple","East Carolina","H","W",81,62
"8575",2017-01-11,"Temple","UConn","A","L",59,73
"8576",2017-01-14,"Temple","Tulsa","H","L",68,70
"8577",2017-01-18,"Temple","Cincinnati","A","L",74,81
"8578",2017-01-25,"Temple","Memphis","H","W",77,66
"8579",2017-01-28,"Temple","Houston","A","L",66,79
"8580",2017-01-31,"Temple","Tulane","A","W",79,71
"8581",2017-02-05,"Temple","South Fla.","H","W",83,74
"8582",2017-02-09,"Temple","SMU","H","L",50,66
"8583",2017-02-12,"Temple","Memphis","A","W",74,62
"8584",2017-02-15,"Temple","East Carolina","A","L",64,78
"8585",2017-02-19,"Temple","UConn","H","L",63,64
"8586",2017-02-22,"Temple","UCF","H","-",NA,NA
"8587",2017-02-25,"Temple","Tulane","H","-",NA,NA
"8588",2017-03-05,"Temple","South Fla.","A","-",NA,NA
"8589",2016-11-11,"Tennessee","Chattanooga","H","L",69,82
"8590",2016-11-15,"Tennessee","Appalachian St.","H","W",103,94
"8591",2016-11-21,"Tennessee","Wisconsin","N","L",62,74
"8592",2016-11-22,"Tennessee","Oregon","N","L",65,69
"8593",2016-11-23,"Tennessee","Chaminade","N","W",95,81
"8594",2016-12-03,"Tennessee","Georgia Tech","H","W",81,58
"8595",2016-12-06,"Tennessee","Presbyterian","H","W",90,50
"8596",2016-12-11,"Tennessee","North Carolina","A","L",71,73
"8597",2016-12-13,"Tennessee","Tennessee Tech","H","W",74,68
"8598",2016-12-15,"Tennessee","Lipscomb","H","W",92,77
"8599",2016-12-18,"Tennessee","Gonzaga","N","L",76,86
"8600",2016-12-22,"Tennessee","ETSU","A","W",72,68
"8601",2016-12-29,"Tennessee","Texas A&M","A","W",73,63
"8602",2017-01-03,"Tennessee","Arkansas","H","L",78,82
"8603",2017-01-07,"Tennessee","Florida","A","L",70,83
"8604",2017-01-11,"Tennessee","South Carolina","H","L",60,70
"8605",2017-01-14,"Tennessee","Vanderbilt","A","W",87,75
"8606",2017-01-17,"Tennessee","Ole Miss","A","L",69,80
"8607",2017-01-21,"Tennessee","Mississippi St.","H","W",91,74
"8608",2017-01-24,"Tennessee","Kentucky","H","W",82,80
"8609",2017-01-28,"Tennessee","Kansas St.","H","W",70,58
"8610",2017-01-31,"Tennessee","Auburn","A","W",87,77
"8611",2017-02-04,"Tennessee","Mississippi St.","A","L",59,64
"8612",2017-02-08,"Tennessee","Ole Miss","H","W",75,66
"8613",2017-02-11,"Tennessee","Georgia","H","L",75,76
"8614",2017-02-14,"Tennessee","Kentucky","A","L",58,83
"8615",2017-02-18,"Tennessee","Missouri","H","W",90,70
"8616",2017-02-22,"Tennessee","Vanderbilt","H","-",NA,NA
"8617",2017-02-25,"Tennessee","South Carolina","A","-",NA,NA
"8618",2017-03-01,"Tennessee","LSU","A","-",NA,NA
"8619",2017-03-04,"Tennessee","Alabama","H","-",NA,NA
"8620",2016-11-11,"Tennessee St.","UC Davis","N","W",78,64
"8621",2016-11-12,"Tennessee St.","Northern Ariz.","N","W",69,65
"8622",2016-11-13,"Tennessee St.","Santa Clara","A","W",69,61
"8623",2016-11-19,"Tennessee St.","Middle Tenn.","A","W",74,63
"8624",2016-11-23,"Tennessee St.","Canisius","A","W",72,58
"8625",2016-11-26,"Tennessee St.","Reinhardt","H","W",96,64
"8626",2016-11-29,"Tennessee St.","Vanderbilt","A","L",59,83
"8627",2016-12-03,"Tennessee St.","Lipscomb","A","W",72,71
"8628",2016-12-10,"Tennessee St.","North Carolina St.","A","L",55,67
"8629",2016-12-14,"Tennessee St.","Alabama St.","H","W",68,46
"8630",2016-12-19,"Tennessee St.","Duke","A","L",55,65
"8631",2016-12-27,"Tennessee St.","Covenant","H","W",81,50
"8632",2016-12-31,"Tennessee St.","Murray St.","A","L",83,92
"8633",2017-01-02,"Tennessee St.","Kennesaw St.","H","L",73,76
"8634",2017-01-05,"Tennessee St.","Southeast Mo. St.","H","W",65,62
"8635",2017-01-07,"Tennessee St.","UT Martin","H","W",76,65
"8636",2017-01-12,"Tennessee St.","Eastern Ky.","A","W",63,49
"8637",2017-01-14,"Tennessee St.","Morehead St.","A","L",85,87
"8638",2017-01-19,"Tennessee St.","Tennessee Tech","H","L",74,80
"8639",2017-01-21,"Tennessee St.","Jacksonville St.","H","L",79,86
"8640",2017-01-25,"Tennessee St.","SIUE","A","W",76,56
"8641",2017-01-28,"Tennessee St.","Belmont","H","L",76,93
"8642",2017-02-02,"Tennessee St.","Eastern Ill.","H","L",67,77
"8643",2017-02-04,"Tennessee St.","Austin Peay","A","W",70,66
"8644",2017-02-09,"Tennessee St.","Tennessee Tech","A","W",72,59
"8645",2017-02-11,"Tennessee St.","Jacksonville St.","A","L",57,63
"8646",2017-02-16,"Tennessee St.","Morehead St.","H","W",64,52
"8647",2017-02-18,"Tennessee St.","Eastern Ky.","H","W",68,66
"8648",2017-02-25,"Tennessee St.","Belmont","A","-",NA,NA
"8649",2016-11-11,"Tennessee Tech","Georgia Tech","A","L",55,70
"8650",2016-11-14,"Tennessee Tech","Central Mich.","H","L",74,86
"8651",2016-11-17,"Tennessee Tech","Alabama A&M","H","W",95,61
"8652",2016-11-20,"Tennessee Tech","Sam Houston St.","H","L",71,78
"8653",2016-11-22,"Tennessee Tech","Southern U.","A","L",68,80
"8654",2016-11-25,"Tennessee Tech","Ohio","A","L",57,68
"8655",2016-11-28,"Tennessee Tech","Hiwassee","H","W",80,47
"8656",2016-12-01,"Tennessee Tech","Lipscomb","A","L",85,104
"8657",2016-12-03,"Tennessee Tech","Alabama A&M","A","W",79,74
"8658",2016-12-04,"Tennessee Tech","Crowley's Ridge","H","W",98,51
"8659",2016-12-10,"Tennessee Tech","Michigan St.","A","L",63,71
"8660",2016-12-13,"Tennessee Tech","Tennessee","A","L",68,74
"8661",2016-12-17,"Tennessee Tech","Lipscomb","H","L",79,81
"8662",2016-12-19,"Tennessee Tech","Furman","H","L",62,68
"8663",2016-12-22,"Tennessee Tech","Miami (OH)","A","L",58,66
"8664",2016-12-31,"Tennessee Tech","SIUE","A","W",72,66
"8665",2017-01-05,"Tennessee Tech","Austin Peay","H","W",76,67
"8666",2017-01-07,"Tennessee Tech","Murray St.","H","W",71,67
"8667",2017-01-10,"Tennessee Tech","Southeast Mo. St.","A","L",78,83
"8668",2017-01-14,"Tennessee Tech","Jacksonville St.","H","L",59,74
"8669",2017-01-19,"Tennessee Tech","Tennessee St.","A","W",80,74
"8670",2017-01-21,"Tennessee Tech","Belmont","A","L",70,82
"8671",2017-01-26,"Tennessee Tech","Morehead St.","H","W",76,73
"8672",2017-01-28,"Tennessee Tech","Eastern Ky.","H","L",66,79
"8673",2017-02-01,"Tennessee Tech","UT Martin","H","L",46,75
"8674",2017-02-04,"Tennessee Tech","Eastern Ill.","A","W",87,68
"8675",2017-02-09,"Tennessee Tech","Tennessee St.","H","L",59,72
"8676",2017-02-11,"Tennessee Tech","Belmont","H","W",83,70
"8677",2017-02-18,"Tennessee Tech","Jacksonville St.","A","W",79,78
"8678",2017-02-23,"Tennessee Tech","Morehead St.","A","-",NA,NA
"8679",2017-02-25,"Tennessee Tech","Eastern Ky.","A","-",NA,NA
"8680",2016-11-11,"Texas","Incarnate Word","H","W",78,73
"8681",2016-11-14,"Texas","La.-Monroe","H","W",80,59
"8682",2016-11-17,"Texas","Eastern Wash.","H","W",85,52
"8683",2016-11-21,"Texas","Northwestern","N","L",58,77
"8684",2016-11-22,"Texas","Colorado","N","L",54,68
"8685",2016-11-29,"Texas","UT Arlington","H","L",61,72
"8686",2016-12-02,"Texas","Alabama","H","W",77,68
"8687",2016-12-06,"Texas","Michigan","A","L",50,53
"8688",2016-12-10,"Texas","Long Beach St.","H","W",71,65
"8689",2016-12-17,"Texas","Arkansas","N","L",74,77
"8690",2016-12-21,"Texas","UAB","H","W",96,60
"8691",2016-12-27,"Texas","Kent St.","H","L",58,63
"8692",2016-12-30,"Texas","Kansas St.","A","L",62,65
"8693",2017-01-04,"Texas","Oklahoma St.","H","W",82,79
"8694",2017-01-07,"Texas","Iowa St.","A","L",70,79
"8695",2017-01-11,"Texas","TCU","H","L",61,64
"8696",2017-01-14,"Texas","West Virginia","H","L",72,74
"8697",2017-01-17,"Texas","Baylor","A","L",64,74
"8698",2017-01-21,"Texas","Kansas","A","L",67,79
"8699",2017-01-23,"Texas","Oklahoma","H","W",84,83
"8700",2017-01-28,"Texas","Georgia","A","L",57,59
"8701",2017-02-01,"Texas","Texas Tech","H","W",62,58
"8702",2017-02-04,"Texas","TCU","A","L",63,78
"8703",2017-02-07,"Texas","Iowa St.","H","W",67,65
"8704",2017-02-11,"Texas","Oklahoma St.","A","L",71,84
"8705",2017-02-14,"Texas","Oklahoma","A","L",66,70
"8706",2017-02-18,"Texas","Kansas St.","H","L",61,64
"8707",2017-02-20,"Texas","West Virginia","A","-",NA,NA
"8708",2017-02-25,"Texas","Kansas","H","-",NA,NA
"8709",2017-03-01,"Texas","Texas Tech","A","-",NA,NA
"8710",2017-03-04,"Texas","Baylor","H","-",NA,NA
"8711",2016-11-11,"Texas A&M","Northwestern St.","H","W",72,44
"8712",2016-11-14,"Texas A&M","American","H","W",76,53
"8713",2016-11-18,"Texas A&M","Southern California","H","L",63,65
"8714",2016-11-24,"Texas A&M","CSUN","N","W",95,73
"8715",2016-11-25,"Texas A&M","Virginia Tech","N","W",68,65
"8716",2016-11-27,"Texas A&M","UCLA","N","L",67,74
"8717",2016-12-05,"Texas A&M","A&M-Corpus Chris","H","W",86,69
"8718",2016-12-07,"Texas A&M","Denver","H","W",80,58
"8719",2016-12-10,"Texas A&M","South Carolina St.","H","W",83,76
"8720",2016-12-17,"Texas A&M","Arizona","N","L",63,67
"8721",2016-12-21,"Texas A&M","Saint Francis (PA)","H","W",81,58
"8722",2016-12-29,"Texas A&M","Tennessee","H","L",63,73
"8723",2017-01-03,"Texas A&M","Kentucky","A","L",58,100
"8724",2017-01-07,"Texas A&M","South Carolina","A","L",68,79
"8725",2017-01-11,"Texas A&M","LSU","H","W",92,62
"8726",2017-01-14,"Texas A&M","Mississippi St.","A","L",59,67
"8727",2017-01-17,"Texas A&M","Arkansas","H","L",60,62
"8728",2017-01-21,"Texas A&M","Georgia","H","W",63,62
"8729",2017-01-25,"Texas A&M","Ole Miss","A","W",80,76
"8730",2017-01-28,"Texas A&M","West Virginia","A","L",77,81
"8731",2017-01-31,"Texas A&M","Vanderbilt","H","L",54,68
"8732",2017-02-04,"Texas A&M","LSU","A","W",85,73
"8733",2017-02-08,"Texas A&M","Missouri","H","W",76,73
"8734",2017-02-11,"Texas A&M","Florida","A","L",62,71
"8735",2017-02-16,"Texas A&M","Vanderbilt","A","L",67,72
"8736",2017-02-18,"Texas A&M","Auburn","H","W",81,62
"8737",2017-02-22,"Texas A&M","Arkansas","A","-",NA,NA
"8738",2017-02-25,"Texas A&M","Alabama","H","-",NA,NA
"8739",2017-02-28,"Texas A&M","Missouri","A","-",NA,NA
"8740",2017-03-04,"Texas A&M","Kentucky","H","-",NA,NA
"8741",2016-11-12,"Texas Southern","UT Arlington","A","L",82,89
"8742",2016-11-13,"Texas Southern","Delaware St.","A","W",74,61
"8743",2016-11-16,"Texas Southern","Rice","A","W",71,68
"8744",2016-11-19,"Texas Southern","La Salle","A","W",77,76
"8745",2016-11-21,"Texas Southern","James Madison","A","W",67,56
"8746",2016-11-27,"Texas Southern","Louisiana","A","L",73,84
"8747",2016-11-30,"Texas Southern","Arizona","A","L",63,85
"8748",2016-12-03,"Texas Southern","Southern Ill.","A","L",70,74
"8749",2016-12-10,"Texas Southern","Louisville","A","L",71,102
"8750",2016-12-13,"Texas Southern","Cincinnati","A","L",58,96
"8751",2016-12-17,"Texas Southern","LSU","A","L",80,88
"8752",2016-12-18,"Texas Southern","TCU","A","L",59,96
"8753",2016-12-21,"Texas Southern","Baylor","A","L",63,89
"8754",2017-01-02,"Texas Southern","Alcorn","A","W",67,65
"8755",2017-01-04,"Texas Southern","Southern U.","A","W",82,74
"8756",2017-01-07,"Texas Southern","Prairie View","A","W",87,82
"8757",2017-01-14,"Texas Southern","Grambling","H","W",76,55
"8758",2017-01-16,"Texas Southern","Jackson St.","H","W",67,44
"8759",2017-01-21,"Texas Southern","Ark.-Pine Bluff","A","W",70,63
"8760",2017-01-23,"Texas Southern","Mississippi Val.","A","L",89,103
"8761",2017-01-28,"Texas Southern","Alabama St.","H","W",70,68
"8762",2017-01-30,"Texas Southern","Alabama A&M","H","W",92,47
"8763",2017-02-04,"Texas Southern","Prairie View","H","W",74,61
"8764",2017-02-11,"Texas Southern","Grambling","A","W",77,70
"8765",2017-02-13,"Texas Southern","Jackson St.","A","L",62,71
"8766",2017-02-18,"Texas Southern","Ark.-Pine Bluff","H","W",78,40
"8767",2017-02-20,"Texas Southern","Mississippi Val.","H","-",NA,NA
"8768",2017-02-25,"Texas Southern","Alabama St.","A","-",NA,NA
"8769",2017-02-27,"Texas Southern","Alabama A&M","A","-",NA,NA
"8770",2017-03-02,"Texas Southern","Alcorn","H","-",NA,NA
"8771",2017-03-04,"Texas Southern","Southern U.","H","-",NA,NA
"8772",2016-11-11,"Texas St.","Fla. Atlantic","N","W",61,57
"8773",2016-11-13,"Texas St.","Hawaii","A","L",68,74
"8774",2016-11-14,"Texas St.","SIUE","N","W",86,58
"8775",2016-11-21,"Texas St.","A&M-Corpus Chris","H","L",69,73
"8776",2016-11-25,"Texas St.","UTSA","A","L",48,63
"8777",2016-11-29,"Texas St.","McNeese","H","W",80,68
"8778",2016-12-01,"Texas St.","Okla. Panhandle","H","W",75,44
"8779",2016-12-07,"Texas St.","UTRGV","A","L",61,72
"8780",2016-12-10,"Texas St.","Prairie View","H","W",64,57
"8781",2016-12-17,"Texas St.","Tulsa","A","L",59,74
"8782",2016-12-20,"Texas St.","Howard Payne","H","W",87,37
"8783",2016-12-23,"Texas St.","Tulane","A","W",69,66
"8784",2016-12-31,"Texas St.","Appalachian St.","H","W",67,58
"8785",2017-01-02,"Texas St.","Coastal Caro.","H","L",53,60
"8786",2017-01-07,"Texas St.","UT Arlington","H","W",81,73
"8787",2017-01-14,"Texas St.","South Ala.","A","L",67,72
"8788",2017-01-16,"Texas St.","Troy","A","W",75,71
"8789",2017-01-21,"Texas St.","Louisiana","H","L",73,79
"8790",2017-01-23,"Texas St.","La.-Monroe","H","W",63,57
"8791",2017-01-28,"Texas St.","Coastal Caro.","A","W",52,50
"8792",2017-01-30,"Texas St.","Appalachian St.","A","W",68,55
"8793",2017-02-04,"Texas St.","UT Arlington","A","L",61,76
"8794",2017-02-11,"Texas St.","Little Rock","H","W",56,49
"8795",2017-02-13,"Texas St.","Arkansas St.","H","W",62,58
"8796",2017-02-18,"Texas St.","Ga. Southern","A","L",67,70
"8797",2017-02-20,"Texas St.","Georgia St.","A","-",NA,NA
"8798",2017-02-25,"Texas St.","Troy","H","-",NA,NA
"8799",2017-02-27,"Texas St.","South Ala.","H","-",NA,NA
"8800",2017-03-02,"Texas St.","Louisiana","A","-",NA,NA
"8801",2017-03-04,"Texas St.","La.-Monroe","A","-",NA,NA
"8802",2016-11-11,"Texas Tech","Houston Baptist","H","W",93,67
"8803",2016-11-15,"Texas Tech","North Texas","H","W",70,43
"8804",2016-11-19,"Texas Tech","Eastern Ky.","H","W",90,71
"8805",2016-11-22,"Texas Tech","Auburn","N","L",65,67
"8806",2016-11-23,"Texas Tech","Utah St.","N","W",75,51
"8807",2016-11-25,"Texas Tech","Idaho St.","H","W",91,58
"8808",2016-11-30,"Texas Tech","Incarnate Word","H","W",69,48
"8809",2016-12-03,"Texas Tech","Rice","H","W",85,84
"8810",2016-12-07,"Texas Tech","UTSA","H","W",87,50
"8811",2016-12-14,"Texas Tech","Nicholls St.","H","W",89,46
"8812",2016-12-17,"Texas Tech","Richmond","A","W",79,72
"8813",2016-12-21,"Texas Tech","Longwood","H","W",91,60
"8814",2016-12-30,"Texas Tech","Iowa St.","A","L",56,63
"8815",2017-01-03,"Texas Tech","West Virginia","H","W",77,76
"8816",2017-01-07,"Texas Tech","Kansas","A","L",68,85
"8817",2017-01-10,"Texas Tech","Kansas St.","H","W",66,65
"8818",2017-01-14,"Texas Tech","Oklahoma","A","L",75,84
"8819",2017-01-18,"Texas Tech","TCU","H","W",75,69
"8820",2017-01-21,"Texas Tech","Oklahoma St.","H","L",64,83
"8821",2017-01-25,"Texas Tech","Baylor","A","L",61,65
"8822",2017-01-28,"Texas Tech","LSU","H","W",77,64
"8823",2017-02-01,"Texas Tech","Texas","A","L",58,62
"8824",2017-02-04,"Texas Tech","Oklahoma","H","W",77,69
"8825",2017-02-07,"Texas Tech","TCU","A","L",61,62
"8826",2017-02-11,"Texas Tech","Kansas","H","L",79,80
"8827",2017-02-13,"Texas Tech","Baylor","H","W",84,78
"8828",2017-02-18,"Texas Tech","West Virginia","A","L",74,83
"8829",2017-02-20,"Texas Tech","Iowa St.","H","-",NA,NA
"8830",2017-02-25,"Texas Tech","Oklahoma St.","A","-",NA,NA
"8831",2017-03-01,"Texas Tech","Texas","H","-",NA,NA
"8832",2017-03-04,"Texas Tech","Kansas St.","A","-",NA,NA
"8833",2016-11-11,"The Citadel","Col. of Charleston","A","L",68,81
"8834",2016-11-13,"The Citadel","Johnson (FL)","H","W",146,84
"8835",2016-11-15,"The Citadel","Truett-McConnell","H","W",119,90
"8836",2016-11-18,"The Citadel","Stetson","A","W",116,112
"8837",2016-11-20,"The Citadel","Iowa St.","A","L",63,130
"8838",2016-11-23,"The Citadel","Arizona St.","A","L",110,127
"8839",2016-11-28,"The Citadel","Presbyterian","H","W",97,83
"8840",2016-12-02,"The Citadel","Colgate","H","W",108,101
"8841",2016-12-03,"The Citadel","USC Upstate","H","W",97,92
"8842",2016-12-04,"The Citadel","Campbell","H","L",91,97
"8843",2016-12-07,"The Citadel","Toccoa Falls","H","W",144,94
"8844",2016-12-17,"The Citadel","Virginia Tech","A","L",71,113
"8845",2016-12-19,"The Citadel","UMBC","A","L",111,120
"8846",2016-12-28,"The Citadel","UNCG","H","L",87,95
"8847",2016-12-31,"The Citadel","Furman","A","L",68,83
"8848",2017-01-02,"The Citadel","Wofford","A","W",104,103
"8849",2017-01-05,"The Citadel","ETSU","H","L",71,115
"8850",2017-01-07,"The Citadel","VMI","H","W",79,74
"8851",2017-01-11,"The Citadel","Chattanooga","A","L",73,83
"8852",2017-01-14,"The Citadel","Samford","H","L",90,98
"8853",2017-01-19,"The Citadel","Western Caro.","A","L",95,100
"8854",2017-01-21,"The Citadel","UNCG","A","L",72,81
"8855",2017-01-28,"The Citadel","Mercer","A","L",66,82
"8856",2017-02-02,"The Citadel","Wofford","H","L",90,100
"8857",2017-02-04,"The Citadel","Furman","H","L",91,99
"8858",2017-02-09,"The Citadel","ETSU","A","L",69,90
"8859",2017-02-11,"The Citadel","VMI","A","L",78,101
"8860",2017-02-18,"The Citadel","Mercer","H","L",78,89
"8861",2017-02-22,"The Citadel","Western Caro.","H","-",NA,NA
"8862",2017-02-25,"The Citadel","Samford","A","-",NA,NA
"8863",2017-02-27,"The Citadel","Chattanooga","H","-",NA,NA
"8864",2016-11-12,"Toledo","Saint Joseph's","A","L",76,77
"8865",2016-11-15,"Toledo","Youngstown St.","H","W",103,98
"8866",2016-11-19,"Toledo","Wright St.","A","W",82,78
"8867",2016-11-22,"Toledo","Middle Tenn.","A","L",70,80
"8868",2016-11-25,"Toledo","Evansville","N","W",83,79
"8869",2016-11-26,"Toledo","Middle Tenn.","N","L",70,73
"8870",2016-11-27,"Toledo","UNCW","N","L",77,102
"8871",2016-12-03,"Toledo","Green Bay","H","L",77,78
"8872",2016-12-07,"Toledo","Detroit Mercy","H","W",73,65
"8873",2016-12-10,"Toledo","Marshall","A","L",105,111
"8874",2016-12-17,"Toledo","Southeastern La.","H","W",78,56
"8875",2016-12-20,"Toledo","Loyola Chicago","H","W",74,70
"8876",2016-12-30,"Toledo","Ohio Christian","H","W",98,58
"8877",2017-01-03,"Toledo","Buffalo","H","W",86,54
"8878",2017-01-07,"Toledo","Miami (OH)","H","W",91,76
"8879",2017-01-10,"Toledo","Western Mich.","A","L",74,90
"8880",2017-01-13,"Toledo","Central Mich.","A","L",88,96
"8881",2017-01-17,"Toledo","Bowling Green","H","W",85,73
"8882",2017-01-21,"Toledo","Kent St.","A","L",61,85
"8883",2017-01-24,"Toledo","Ohio","A","W",79,76
"8884",2017-01-28,"Toledo","Northern Ill.","H","L",72,74
"8885",2017-01-31,"Toledo","Ball St.","A","L",80,81
"8886",2017-02-04,"Toledo","Bowling Green","A","L",100,104
"8887",2017-02-07,"Toledo","Eastern Mich.","H","W",73,57
"8888",2017-02-11,"Toledo","Kent St.","H","W",78,58
"8889",2017-02-14,"Toledo","Akron","A","L",65,71
"8890",2017-02-18,"Toledo","Northern Ill.","A","W",88,80
"8891",2017-02-21,"Toledo","Western Mich.","H","-",NA,NA
"8892",2017-02-25,"Toledo","Central Mich.","H","-",NA,NA
"8893",2017-02-28,"Toledo","Ball St.","H","-",NA,NA
"8894",2017-03-03,"Toledo","Eastern Mich.","A","-",NA,NA
"8895",2016-11-12,"Towson","George Mason","A","W",67,61
"8896",2016-11-15,"Towson","Morgan St.","A","W",78,72
"8897",2016-11-20,"Towson","Maryland","A","L",66,71
"8898",2016-11-22,"Towson","Boston College","A","L",70,80
"8899",2016-11-25,"Towson","Stony Brook","H","W",88,63
"8900",2016-11-26,"Towson","Robert Morris","H","L",66,67
"8901",2016-11-30,"Towson","Goucher","H","W",99,37
"8902",2016-12-03,"Towson","Old Dominion","H","L",58,60
"8903",2016-12-07,"Towson","Loyola Maryland","H","W",70,53
"8904",2016-12-10,"Towson","Fairleigh Dickinson","H","W",90,87
"8905",2016-12-17,"Towson","UMBC","A","W",73,72
"8906",2016-12-21,"Towson","Nevada","N","L",72,81
"8907",2016-12-22,"Towson","Iona","N","W",76,69
"8908",2016-12-31,"Towson","UNCW","H","L",67,76
"8909",2017-01-02,"Towson","James Madison","A","L",44,64
"8910",2017-01-05,"Towson","Col. of Charleston","A","L",57,62
"8911",2017-01-07,"Towson","Elon","A","L",61,72
"8912",2017-01-12,"Towson","Delaware","H","W",83,56
"8913",2017-01-14,"Towson","Northeastern","H","W",74,67
"8914",2017-01-19,"Towson","Hofstra","A","W",86,80
"8915",2017-01-21,"Towson","Delaware","A","W",75,58
"8916",2017-01-26,"Towson","Col. of Charleston","H","W",83,77
"8917",2017-01-28,"Towson","Northeastern","A","L",62,69
"8918",2017-02-02,"Towson","Drexel","H","W",104,103
"8919",2017-02-04,"Towson","William & Mary","H","W",82,80
"8920",2017-02-09,"Towson","Hofstra","H","W",69,65
"8921",2017-02-11,"Towson","Drexel","A","W",69,65
"8922",2017-02-16,"Towson","Elon","H","W",85,66
"8923",2017-02-18,"Towson","James Madison","H","W",75,65
"8924",2017-02-23,"Towson","UNCW","A","-",NA,NA
"8925",2017-02-25,"Towson","William & Mary","A","-",NA,NA
"8926",2016-11-11,"Troy","Toccoa Falls","H","W",135,76
"8927",2016-11-14,"Troy","Eastern Ill.","H","W",70,67
"8928",2016-11-17,"Troy","UAB","A","L",51,74
"8929",2016-11-21,"Troy","Eastern Ill.","A","L",67,71
"8930",2016-11-23,"Troy","San Francisco","A","L",67,79
"8931",2016-11-25,"Troy","Hawaii","A","W",65,63
"8932",2016-12-01,"Troy","South Fla.","H","L",74,80
"8933",2016-12-04,"Troy","Alabama St.","H","W",83,65
"8934",2016-12-10,"Troy","Alabama A&M","H","W",88,59
"8935",2016-12-14,"Troy","Point U.","N","W",114,52
"8936",2016-12-17,"Troy","Southern California","A","L",77,82
"8937",2016-12-19,"Troy","Wyoming","A","L",66,72
"8938",2016-12-22,"Troy","Cornell","N","W",92,84
"8939",2016-12-23,"Troy","Chicago St.","N","W",83,65
"8940",2017-01-02,"Troy","South Ala.","A","L",75,76
"8941",2017-01-07,"Troy","Ga. Southern","A","L",82,86
"8942",2017-01-09,"Troy","Georgia St.","A","W",80,77
"8943",2017-01-14,"Troy","UT Arlington","H","W",93,71
"8944",2017-01-16,"Troy","Texas St.","H","L",71,75
"8945",2017-01-21,"Troy","Arkansas St.","A","L",80,82
"8946",2017-01-23,"Troy","Little Rock","A","W",78,69
"8947",2017-01-28,"Troy","Georgia St.","H","L",72,78
"8948",2017-01-30,"Troy","Ga. Southern","H","W",83,76
"8949",2017-02-04,"Troy","South Ala.","H","L",71,76
"8950",2017-02-11,"Troy","Louisiana","A","W",100,88
"8951",2017-02-13,"Troy","La.-Monroe","A","W",73,72
"8952",2017-02-18,"Troy","Coastal Caro.","H","W",87,78
"8953",2017-02-20,"Troy","Appalachian St.","H","-",NA,NA
"8954",2017-02-25,"Troy","Texas St.","A","-",NA,NA
"8955",2017-02-27,"Troy","UT Arlington","A","-",NA,NA
"8956",2017-03-02,"Troy","Arkansas St.","H","-",NA,NA
"8957",2017-03-04,"Troy","Little Rock","H","-",NA,NA
"8958",2016-11-11,"Tulane","North Carolina","H","L",75,95
"8959",2016-11-14,"Tulane","Southeastern La.","H","W",93,76
"8960",2016-11-17,"Tulane","Oklahoma","N","L",70,89
"8961",2016-11-18,"Tulane","Arizona St.","N","L",71,80
"8962",2016-11-20,"Tulane","Missouri","N","L",62,67
"8963",2016-11-26,"Tulane","Georgia Tech","A","L",68,82
"8964",2016-11-29,"Tulane","New Orleans","A","L",59,74
"8965",2016-12-02,"Tulane","St. John's (NY)","H","L",75,95
"8966",2016-12-07,"Tulane","Southern U.","H","W",84,75
"8967",2016-12-10,"Tulane","Southern Miss.","A","W",71,64
"8968",2016-12-19,"Tulane","McNeese","H","L",63,70
"8969",2016-12-23,"Tulane","Texas St.","H","L",66,69
"8970",2016-12-28,"Tulane","UCF","H","L",72,85
"8971",2017-01-01,"Tulane","Cincinnati","A","L",56,92
"8972",2017-01-08,"Tulane","Memphis","H","L",59,80
"8973",2017-01-11,"Tulane","South Fla.","A","W",82,67
"8974",2017-01-15,"Tulane","SMU","H","L",64,80
"8975",2017-01-18,"Tulane","Tulsa","A","L",82,89
"8976",2017-01-21,"Tulane","Cincinnati","H","L",61,78
"8977",2017-01-24,"Tulane","Houston","A","L",51,65
"8978",2017-01-28,"Tulane","UConn","A","L",68,78
"8979",2017-01-31,"Tulane","Temple","H","L",71,79
"8980",2017-02-04,"Tulane","East Carolina","A","L",65,74
"8981",2017-02-08,"Tulane","Houston","H","L",62,91
"8982",2017-02-15,"Tulane","SMU","A","L",75,80
"8983",2017-02-18,"Tulane","South Fla.","H","W",94,71
"8984",2017-02-21,"Tulane","East Carolina","H","-",NA,NA
"8985",2017-02-25,"Tulane","Temple","A","-",NA,NA
"8986",2017-03-02,"Tulane","Memphis","A","-",NA,NA
"8987",2017-03-05,"Tulane","Tulsa","H","-",NA,NA
